Date,Capital,Amount Earned
2018-07-12,1539.7577526489276,882.3277526489277
2018-07-13,1540.13684100763,882.70684100763
2018-07-16,1540.5160226978862,883.0860226978863
2018-07-17,1540.8952977426748,883.4652977426748
2018-07-18,1541.274666164979,883.844666164979
2018-07-19,1541.654127987789,884.2241279877891
2018-07-20,1542.0336832341,884.6036832341
2018-07-23,1542.4133319269124,884.9833319269125
2018-07-24,1542.7930740892327,885.3630740892328
2018-07-25,1543.1729097440739,885.7429097440739
2018-07-26,1543.5528389144529,886.1228389144529
2018-07-27,1543.9328616233938,886.5028616233939
2018-07-30,1544.3129778939258,886.8829778939258
2018-07-31,1544.6931877490833,887.2631877490834
2018-08-01,1545.0734912119071,887.6434912119072
2018-08-02,1545.4538883054438,888.0238883054438
2018-08-03,1545.8343790527447,888.4043790527447
2018-08-06,1546.2149634768675,888.7849634768676
2018-08-07,1546.5956416008758,889.1656416008758
2018-08-08,1546.976413447838,889.5464134478381
2018-08-09,1547.3572790408289,889.9272790408289
2018-08-10,1547.738238402929,890.3082384029291
2018-08-13,1548.1192915572237,890.6892915572238
2018-08-14,1548.500438526805,891.0704385268051
2018-08-15,1548.8816793347705,891.4516793347706
2018-08-16,1549.263014004223,891.833014004223
2018-08-17,1549.6444425582708,892.2144425582709
2018-08-20,1550.025965020029,892.595965020029
2018-08-21,1550.407581412617,892.977581412617
2018-08-22,1550.789291759161,893.359291759161
2018-08-23,1551.1710960827922,893.7410960827923
2018-08-24,1551.5529944066482,894.1229944066482
2018-08-27,1551.9349867538713,894.5049867538713
2018-08-28,1552.3170731476102,894.8870731476103
2018-08-29,1552.6992536110195,895.2692536110195
2018-08-30,1553.0815281672587,895.6515281672588
2018-08-31,1553.4638968394934,896.0338968394934
2018-09-03,1553.8463596508955,896.4163596508955
2018-09-04,1554.2289166246417,896.7989166246417
2018-09-05,1554.6115677839148,897.1815677839148
2018-09-06,1554.9943131519033,897.5643131519033
2018-09-10,1555.3771527518015,897.9471527518016
2018-09-11,1555.760086606809,898.330086606809
2018-09-12,1556.1431147401318,898.7131147401318
